,label,diff,s1_pad,s2_pad,s1,s2
3810,0.0,0.0,30,23,[CLS] 문특보 외교안보특보에서 사퇴하고 국민께 사죄하라 [SEP]                              ,[CLS] 대한민국 특사에 대한 중국의 외교결례를 강력히 항의하십시요 [SEP]                       
3014,4.4,0.0,40,41,[CLS] 반전영화임에도 상업영화로서의 정체성 또한 잃지 않았다. [SEP]                                        ,[CLS] 반전영화임에도 상업영화로서의 정체성을 잃지 않았다. [SEP]                                         
7520,3.0,0.0,43,40,[CLS] 광주 폭행사건 이건아니다 정말 [SEP]                                           ,[CLS] 광주 폭행 사건 진상규명 철처히 [SEP]                                        
5605,2.2,0.0,37,35,[CLS] 유산균만 넣어주면 요거트로..? [SEP]                                     ,[CLS] 요거트에 유산균만 넣으면...? [SEP]                                   
4060,4.0,0.0,32,27,[CLS] 저번 동부모임에서 말씀하신 서버에서 만든 것이죠?? [SEP]                                ,[CLS] 지난번 동부회의에서 말씀하신 서버에서 만든건가요?? [SEP]                           
3936,0.0,0.0,36,17,[CLS] 한국인 차별 외국계특혜정책 폐지하세요 [SEP]                                    ,[CLS] 여성전용칸 폐지 또는 여성전용이라는 단어 사용 금지 법 만들어주시길 바랍니다 [SEP]                 
1327,1.6,0.0,34,32,[CLS] 뭐지 이 영화 이해가???? [SEP]                                  ,[CLS] 뭐지 이 어설픈 영화는?? [SEP]                                
4128,4.4,0.0,33,36,[CLS] 정말 잼있게 본 영화.. [SEP]                                 ,[CLS] 정말 재미있게 본 영화. [SEP]                                    
1412,0.0,0.0,36,29,[CLS] 감독의 정신산태가 궁금하게 만들어지는 영화 [SEP]                                    ,[CLS] 용광로나 조선소에서의 씬은 사람을 긴장하게 만들더군요.. [SEP]                             
8803,2.8,0.0,38,27,[CLS] 얼굴 보면서 대화 하는 것의 소중함을 느끼게 됩니다. ㅎ [SEP]                                      ,[CLS] 직접 만나서 이야기하는 것의 중요성을 느끼실 것입니다. 그 [SEP]                           
7970,2.6,0.0,25,26,"[CLS] 난 델피같지 않다고 생각하는데, 왜이리 그녀가 이해가 되는건가 [SEP]                         ","[CLS] 난 델파이 같지 않은 것 같아, 그녀는 왜 그렇게 이해하기 쉬울까 [SEP]                          "
8202,0.0,0.0,34,29,[CLS] 매크로끼리의 전쟁 ㅋㅋ [SEP]                                  ,[CLS] 사투리의 역사와 판별력 ㅋㅋ [SEP]                             
5974,0.4,0.0,35,25,[CLS] 청소년들에게 올바른 교육을! [SEP]                                   ,[CLS] 청소년에게도 교육감 투표권을 주세요! [SEP]                         
6008,2.6,0.0,34,27,[CLS] 나름대로 흥미진진했다 엔딩도 좋고 [SEP]                                  ,[CLS] 난 지루하지 않고 흥미진진했다 [SEP]                           
8579,0.8,0.0,45,32,[CLS] 비급 액션 블록버스터 ~ ~ ~ [SEP]                                             ,[CLS] 일본 영화사상 최대의 액션 블럭버스터! OO하고 자빠졌군.... [SEP]                                
6152,0.0,0.0,31,20,[CLS] 누군가 분석해주신 저희 회사 정보 [SEP]                               ,[CLS] 지원해주신 분들께서 꽤 참석해주신 것 같네요 [SEP]                    
9128,0.0,0.0,43,35,[CLS] 후... 빠친다 [UNK] [SEP]                                           ,[CLS] 지금편보는중... 후... [SEP]                                   
1629,0.0,0.0,39,36,[CLS] 정치인 최저시급제 시행하십시오 [SEP]                                       ,[CLS] 국민소환제 빨리 시행해주십시오! [SEP]                                    
3158,0.2,0.0,39,33,[CLS] 인공서핑장 도입이 시급합니다. [SEP]                                       ,[CLS] 동물의료보험제도 도입이 시급합니다 [SEP]                                 
1579,1.0,0.0,38,36,[CLS] 경남제약 주주에요 억울해요 [SEP]                                      ,[CLS] 경남제약은 강소중소기업입니다. [SEP]                                    
2446,4.0,0.0,29,27,[CLS] 슬렉봇 응답 키워드 추가도 좋을듯요. [SEP]                             ,[CLS] Slackbot 응답 키워드를 추가하면 좋을 것입니다. [SEP]                           
879,4.4,0.0,31,38,[CLS] 지금 아주 만족해요. [SEP]                               ,[CLS] 지금은 매우 만족합니다. [SEP]                                      
4922,0.0,0.0,31,20,[CLS] 영원히이루어질수없게되버린 핀첼커플 [SEP]                               ,[CLS] 여인은 오늘도 [UNK] 벗어날수 없는 현실로부터의 도피를 꿈꾼다 [SEP]                    
4384,3.6,0.0,31,31,[CLS] 잘 안들리셨을텐데 끝까지 대화에 껴주셔서 감사합니다 ㅋㅋㅋ [SEP]                               ,[CLS] 잘 못 들으시겠지만 끝까지 대화에 참여해주셔서 감사합니다. [SEP]                               
7411,4.2,0.0,38,27,[CLS] 허먼밀러 헤드레스트 도착! [SEP]                                      ,[CLS] 허먼밀러 헤드레스트가 도착했습니다! [SEP]                           
1158,0.8,0.0,45,27,[CLS] B급 코미디 영화의 대표. [SEP]                                             ,[CLS] < 코미디의 왕 > 이랑 비슷한거 같음. [SEP]                           
2196,0.0,0.0,34,23,[CLS] 저도 연극부에서 의상 담당 했었던.. ㅋㅋ [SEP]                                  ,[CLS] 저도 운전하다가 소 떼 만난 적 있는데.. [SEP]                       
955,0.4,0.0,37,42,[CLS] 노동자로 살기힘들어요 [SEP]                                     ,[CLS] 학원때문에너무세상살기힘들어요 [SEP]                                          
3086,4.2,0.0,36,33,[CLS] 앗 제가 접근권한이 없다고 [UNK] ; ; [SEP]                                    ,"[CLS] 오, 액세스 권한이 없다고 합니다. [SEP]                                 "
8729,0.4,0.0,32,29,"[CLS] 언젠가 같이 업무 할 수 있는 날도 오기를 기대하며, 다음에 또 만나요! [SEP]                                ",[CLS] 또 다시 피렌체를 갈수 있는 날을 기원해요! ㅋㅋ [SEP]                             
8726,1.8,0.0,48,32,[CLS] 마지막에 결국은.. [SEP]                                                ,[CLS] 아씨 마지막에 [UNK] ㅜㅜ....... [SEP]                                
1717,3.8,0.0,37,34,[CLS] 라부 레타'로 표기하는게 낫지 않을까? [SEP]                                     ,[CLS] 라부레타'라고 쓰는 게 좋지 않을까요? [SEP]                                  
4656,0.4,0.0,34,35,[CLS] ㅋㅋ 1년만에 영접이라니 ㅠ [SEP]                                  ,[CLS] 2개월만에 만난 행운 [SEP]                                   
2273,3.4,0.0,37,25,[CLS] 무슨 의도로 만들었을까??? [SEP]                                     ,[CLS] 왜 만들었을까??? 의문??? [SEP]                         
4880,1.8,0.0,27,17,[CLS] 그러면 오늘도 좋은 하루 되시길 바라며 이만 줄이겠습니다. [SEP]                           ,[CLS] 입사 첫 주 즐거운 온보딩 되시길 바라면서 좋은 하루 되세요!! [SEP]                 
8167,0.6,0.0,39,38,[CLS] 영화는 역시 개취임 [SEP]                                       ,[CLS] 영화는 재미없음 맞음 ㅇㅇ [SEP]                                      
7232,4.2,0.0,17,22,[CLS] 추후 알게 되었는데 같은.. 학교 동문이더라구요 (? ) [SEP]                 ,[CLS] 나중에 알고보니 같은.. 학교 동창 (? ) [SEP]                      
2508,0.4,0.0,25,24,[CLS] 손예진의 리즈시절을 보는 것만으로도 충분함 ㅎ [SEP]                         ,[CLS] 알 형님의 카리스마가 대단한 영화였음그리고 리즈시절의 [UNK] [SEP]                        
944,1.5,0.0,39,50,[CLS] 국회의윈 임금위원회 [SEP]                                       ,[CLS] 국회의원 연봉 인상반대 [SEP]                                                  
5591,3.6,0.0,39,40,[CLS] 비트코인은 온라인게임머니이다... [SEP]                                       ,[CLS] 비트코인은 온라인 게임머니 … [SEP]                                        
5535,3.6,0.0,36,28,[CLS] 술의 구매 장소와 구매 가능 시간을 제한 하자. [SEP]                                    ,[CLS] 술을 살 수 있는 곳과 살 수 있는 시기를 제한하십시오. [SEP]                            
4209,0.0,0.0,31,30,[CLS] 수린이 등판했습니다... [SEP]                               ,[CLS] 캘린더에 안들어왔어요..! [SEP]                              
7084,3.2,0.0,31,43,[CLS] 비디오 시절 당시 킬링 타임으로는 최고였지 [SEP]                               ,[CLS] 킬링 타임용으로 추천! [SEP]                                           
5106,4.2,0.0,42,45,[CLS] 집값이 내리고 있다고요? [SEP]                                          ,[CLS] 집값이 떨어지고 있다? [SEP]                                             
7766,3.4,0.0,24,51,[CLS] 아진짜 마음같아서는 마이너스 주고싶다 [SEP]                        ,[CLS] 아 진짜 마이너스 주고싶다 [SEP]                                                   
3306,2.2,0.0,43,35,[CLS] 강동원 강동원 강동원 강동원 [SEP]                                           ,"[CLS] 강동원의, 강동원에 의한, 강동원을 위한 청춘영화 [SEP]                                   "
8725,2.4,0.0,48,37,[CLS] 유쾌하고 상큼한 영화 ~ [SEP]                                                ,[CLS] 정말 재밌고 유쾌한 드라마! [SEP]                                     
1677,0.0,0.0,40,27,[CLS] 영어문제집풀다가 영어지문에나와서 [UNK] [SEP]                                        ,[CLS] 노래 low듣다가 갑자기 급꼴로봤는데 아 내가왜봤을까.... [SEP]                           
8785,1.8,0.0,49,40,[CLS] 오늘 하루 [UNK] ~ ~ [SEP]                                                 ,[CLS] 대전에서 [UNK] ~ [SEP]                                        
7119,3.4,0.0,25,31,[CLS] 오늘의 결론 : 혼자든 둘이든 행복하니 됐다 ~ ~!! [SEP]                         ,[CLS] 오늘의 결론 : 혼자나 둘이서나 행복해져서 행복해 ~ ~!! [SEP]                               
6384,0.0,0.0,43,39,[CLS] 저는 사봐야겠어요 ㅎㅎㅎ [SEP]                                           ,[CLS] 한번 가봐야겠네요ㅎㅎ [SEP]                                       
6546,2.0,0.0,35,33,[CLS] 안락사 허용을 원하는 평범한 학생들의 청원 [SEP]                                   ,[CLS] 안락사 허용을 위한 원고의 청원 [SEP]                                 
9005,0.2,0.0,37,31,[CLS] 근데 결말이 귀신이라니 이런 어처구니없는 영화 ㅋㅋ [SEP]                                     ,[CLS] 와.. 이런 영화 정말 신선한 충격이네요 ㅎㅎㅎ [SEP]                               
8512,3.8,0.0,34,27,[CLS] 심하게 울었네요.. [SEP]                                  ,[CLS] 정말미친듯이울었네요.. [SEP]                           
6067,0.8,0.0,30,24,[CLS] 두 개인데 베란다 창가끝에 있던 아이는 잎이 마르더라고요. [SEP]                              ,[CLS] 여름 되니 베란다에 해가 별로 안 들어서 인공 광원 밑에 두었어요. [SEP]                        
3472,1.8,0.0,18,28,[CLS] 그림 그리시는 동안에는 시간 가는 줄 모르고 몰입하신다고 하시네요. ㅎㅎ [SEP]                  ,[CLS] 정말 시간 가는줄 모르고 이야기 한 거 같아요. [SEP]                            
9066,0.0,0.0,35,33,"[CLS] 미투운동을 경, 검찰에게 맏기도록 했으면 합니다. [SEP]                                   ",[CLS] 담배값 이제 [UNK] 합니다. 청원 첨 해봅니다. [SEP]                                 
384,0.4,0.01,37,34,"[CLS] 대한항공 대한, 태극마크 사용불가 청원 [SEP]                                     ","[CLS] 기업 비닐, 스티로폼 사용 규제 청원합니다. [SEP]                                  "
7217,0.0,0.01,30,27,[CLS] 보다 중간에 나왔어요 [SEP]                              ,[CLS] 내용 괜찮고 아주 흥미로왔어요. [SEP]                           
7839,0.6,0.01,24,41,[CLS] 차라리 수사물미드에나 훨씬어울렸을 소재와연출 그리고 각본 [SEP]                        ,[CLS] 연출과 영상미가 좋다 그게 다 [SEP]                                         
3521,3.8,0.01,4,7,[CLS] 언론에 허위사실을 유포 ( 주 ) 패밀리와 본인을 두 번 세 번 네 번을 죽이고 있는 삼성화재보험의 두얼굴 뻔뻔함입니다 [SEP]    ,"[CLS] 언론에 허위사실을 유포하여 두 번, 세 번, 네 번 가족과 나 자신을 죽이고 있는 삼성화재의 양면적 뻔뻔함이다. [SEP]       "
948,0.4,0.01,32,38,[CLS] 국군의 날을 광복군 창건일로 바꿔주십시오 [SEP]                                ,[CLS] 존경하는 대통령님 독도의 날을 국경일로 지정해 주십시오 [SEP]                                      
9089,2.6,0.01,35,30,[CLS] 비트코인 청원 이제 그만하셔도 됩니다. ( 20만 넘어섬 ) [SEP]                                   ,"[CLS] 이제 비트코인 청원을 중단할 수 있습니다. ( 200, 000 이상 ) [SEP]                              "
8773,4.2,0.01,44,31,[CLS] 듣고보니 지금 아이가 더욱 [UNK] ㅎㅎ [SEP]                                            ,[CLS] 듣고 나니 아이가 더 귀엽게 생겼네요 헤헤. [SEP]                               
7299,0.4,0.01,38,30,[CLS] 꽤 신선한 접근이었다. [SEP]                                      ,[CLS] 정말로충격적인 장면이었다. [SEP]                              
8475,4.0,0.01,27,22,[CLS] 유용한 팁 같아서 멘토분들에게 공유할게요 ~ [SEP]                           ,[CLS] 유용한 팁인 것 같아서 멘토님들과 공유할게요 ~ [SEP]                      
8273,3.0,0.01,20,20,[CLS] 정신병원 이야기는 기본점을 먹고 들어가는 건데.. 이건 왜이러냐. [SEP]                    ,[CLS] 정신병원 이야기는 기본만 먹는데... 왜 이런 일이? [SEP]                    
121,0.0,0.01,34,29,[CLS] 2022 수시를폐지하지말아야합니다 [SEP]                                  ,[CLS] 2022년 직업은 폐지되어서는 안 된다 [SEP]                             
1107,3.6,0.01,48,39,[CLS] [UNK]! 10분 정도 미팅 늦추겠습니다! [SEP]                                                ,[CLS] [UNK]! 회의를 10분 연기하겠습니다! [SEP]                                       
6905,3.8,0.01,24,28,[CLS] 평창동계올림픽 개막식에 보수단체들의 시위를 막아주세요 [SEP]                        ,[CLS] 평창동계올림픽 개막식에서 보수단체 시위 멈춰주세요 [SEP]                            
1142,3.0,0.01,46,38,[CLS] 그래도 처음 같이 얘기해서 좋은 시간이었습니다 ~ [SEP]                                              ,[CLS] 오늘 처음 만났음에도 너무 즐거운 시간이였습니다! [SEP]                                      
5278,4.2,0.01,14,19,"[CLS] 우리 회사의 자랑이자 AI의 빛.. 챌린저스 팀과의 만남이라 더욱 긴장감 반, 기대감 반이었던..! [SEP]              ",[CLS] 우리 회사의 자부심과 AI의 빛.. 챌린저스 팀과의 만남은 더욱 긴장되고 기대반..! [SEP]                   
7362,0.0,0.01,42,25,[CLS] 이건 쓰레기야 ㅋㅋ [SEP]                                          ,[CLS] 완전히 깨금이홀릭이엿는뎅ㅠㅠ깨금잉 [SEP]                         
6272,2.4,0.01,38,32,[CLS] ( 까먹고 있다가 이제 생각이 나서.. ) [SEP]                                      ,[CLS] ( 잊고 있었는데 지금 생각해보면... ) [SEP]                                
8717,0.0,0.01,34,19,[CLS] up로고를 활용해서 UP이 들어간 다양한 문구도 좋을 것 같아요! [SEP]                                  ,[CLS] 이로써 ENFP가 한 분 더 추가되어 더욱 활기찬 CE팀이 될 것 같네요! [SEP]                   
8596,0.0,0.01,40,44,[CLS] 할머니 : 감독님... 농구가 하고 싶어요 [SEP]                                        ,[CLS] - 점 없어 아쉬움 ~ ~ [SEP]                                            
8414,2.6,0.01,32,28,[CLS] 극장에서 정말 큰 감동받고 나왔다... [SEP]                                ,[CLS] 정말 감동이였습니다... [SEP]                            
7467,1.2,0.01,40,38,[CLS] 영화관에서 돈 주고 봐서 낮게 준거야? [SEP]                                        ,[CLS] 이런것도 영화관에서 상영을해? ㅋ ; [SEP]                                      
9206,0.2,0.01,24,17,[CLS] 여태것 봤던 다큐중 최고몇회인지 기억은 확실하지 않지만 천문학을 배우면 겸손해진다고.. [SEP]                        ,[CLS] 조선의 가장 화려했던 일간의 축제를 D로 복원한 다큐. 아이들과 함께 보면 좋을 것 같은... [SEP]                 
6424,2.8,0.01,30,32,[CLS] 오랜만에 본 참 괜찮았던 영화다. [SEP]                              ,[CLS] 오랜만에 본 일본영화인데 참 좋더군요. [SEP]                                
8249,2.0,0.01,31,27,[CLS] 올해 최고의 캐웃긴 영화!! [SEP]                               ,[CLS] 올해 극장에서 본 영화 중 최고!! [SEP]                           
6662,4.0,0.01,34,35,[CLS] 사라지거나 무의미한 경험은 없다는 생각을 했네요. [SEP]                                  ,[CLS] 사라지거나 의미 없는 경험은 없다고 생각했다. [SEP]                                   
6706,0.6,0.01,43,42,[CLS] 가슴에서 흐르는 눈물 [SEP]                                           ,[CLS] 너무 억울해서 올립니다. [SEP]                                          
8358,0.5,0.01,36,25,[CLS] 깨끗한 해변을 위해 청원합니다. [SEP]                                    ,[CLS] 소통을 위해 국민 청원 방식의 수정을 요청합니다. [SEP]                         
3173,0.4,0.01,33,27,[CLS] 전화스피드퀴즈할때가한참재밌었는뎅 [SEP]                                 ,[CLS] 영화그고양이나오는가필드재밌는데이건좀 ; ; [SEP]                           
3685,0.0,0.01,42,39,[CLS] 확 올리는게 있어!! 확!! [SEP]                                          ,[CLS] 글구... 완전 캡! 강추!!! [SEP]                                       
4604,1.0,0.01,48,29,[CLS] 폐급 영화에 대한 오마쥬 [SEP]                                                ,[CLS] 동양 무협액션에 대한 타란티노의 완벽한 오마쥬 [SEP]                             
7992,4.0,0.01,39,38,[CLS] 빈집세를 도입하세요. [SEP]                                       ,[CLS] 빈집세를 도입합니다. [SEP]                                      
1117,0.0,0.01,42,40,"[CLS] 그런거 보면, 엄살들이 심하다는 생각도 없지는 않다 [SEP]                                          ",[CLS] 어메이징가 나쁘지는 않았다. [SEP]                                        
7478,0.0,0.01,40,33,[CLS] 출산장려금 지역별 차이 없애주세요 [SEP]                                        ,[CLS] 국가장학금의 소득분위별 지급 금액 차이를 줄여주세요 [SEP]                                 
7202,0.0,0.01,27,28,[CLS] 아버지가 생각나네요... [SEP]                           ,[CLS] 많이 무서운 영화 네요.... [SEP]                            
6692,3.8,0.01,40,35,[CLS] 새삼 저희 단체티 정말 아름답군요 [SEP]                                        ,"[CLS] 다시 한 번, 우리 그룹 티는 정말 아름답습니다. [SEP]                                   "
7420,2.0,0.01,35,27,"[CLS] 전기세 낮춰주시고, 누진제 없애주세요 [SEP]                                   ","[CLS] 누진제, 국민연금, 특활비 폐지해 주세요 [SEP]                           "
8936,2.2,0.01,35,30,[CLS] 제법 집중해서 볼수 있는 스릴러 [SEP]                                   ,[CLS] 볼만한 스릴러 [SEP]                              
2454,4.2,0.01,20,27,[CLS] 우와오 또 한분의 꿀보이스..! 주니어 미리 넘넘 축하드립니다!! [SEP]                    ,[CLS] 우와 또 감미로운 목소리..! 주니어 미리 축하드립니다!! [SEP]                           
6065,2.0,0.01,40,35,[CLS] 층간소음을 해결해 주세요 [SEP]                                        ,[CLS] 층간소음 법률 강화 부탁드립니다 [SEP]                                   
6129,3.2,0.01,38,30,[CLS] 청소년 보호법 폐지하거나 내용바꿔주세요 [SEP]                                      ,[CLS] 청소년법 폐지를 하거나 청소년법 강화를 부탁드립니다 [SEP]                              
5260,2.8,0.01,30,33,[CLS] 앗 저는 권한이 없는지 안 보이는 것 같네요 ㅠㅠ [SEP]                              ,"[CLS] 아, 허락을 받았는지 안 보이네요. [SEP]                                 "
6257,0.0,0.01,32,27,[CLS] 이유가 없습니다. [UNK] [SEP]                                ,[CLS] 전 이해가 안됩니다. ㅡ. ㅡ [SEP]                           
4447,0.4,0.01,45,44,[CLS] 그냥 보면서 다 소름 [SEP]                                             ,[CLS] 이거보면서 엄청웃음ㅋㅋ [SEP]                                            
3011,1.2,0.01,47,52,[CLS] 아이유 연기잘하던데 작가땜에 망했네 [SEP]                                               ,[CLS] 강동원 연기 진짜잘하네요 [SEP]                                                    
7998,0.0,0.01,41,39,[CLS] 장애인 수당을 올려주세요 [SEP]                                         ,[CLS] 성폭행 형량을 늘려주세요 [SEP]                                       
4836,4.0,0.01,39,31,[CLS] 국가대표도 프로듀스 101로 뽑아주세요 [SEP]                                       ,[CLS] 프로듀스 101로 국가 대표팀을 선택하십시오 [SEP]                               
8290,0.0,0.01,31,29,[CLS] 다음에도 일정 잡아주세요!!! [SEP]                               ,[CLS] 저희도 껴주세요.. [SEP]                             
9114,0.0,0.01,42,41,"[CLS] 엑시던트 - > 사고, 우연 [SEP]                                          ",[CLS] 주말 극장데이트 선택한 영화 [SEP]                                         
2777,4.0,0.01,30,32,[CLS] 사는 동네가 비슷하여 앞으로도 종종 뵙고 말씀 나누기를! [SEP]                              ,[CLS] 비슷한 동네에 살고 있으니 자주 뵙고 이야기 나누었으면 좋겠습니다! [SEP]                                
5040,1.0,0.01,45,46,[CLS] 이명희 석방 반대 청원 [SEP]                                             ,[CLS] 대한항공 이명희 사건 구속 수사 [SEP]                                              
5420,0.0,0.01,47,43,[CLS] 진경준재판 재심해 주세요. [SEP]                                               ,[CLS] 순경 시험 영어 폐지해 주세요. [SEP]                                           
2185,1.2,0.01,40,29,"[CLS] 어린이집, 개선해야합니다. [SEP]                                        ","[CLS] 유치원, 어린이집 감사 철저히 합시다. [SEP]                             "
7097,0.6,0.01,34,43,[CLS] 경기활성화 대책이 필요합니다 [SEP]                                  ,[CLS] 부동산 추가 대책이 필요합니다. [SEP]                                           
3597,1.8,0.01,42,41,[CLS] 픽사는 날 실망시킨적이 없다 [SEP]                                          ,[CLS] 역시 안나! 날 실망시키지 않는구나 [SEP]                                         
2493,2.8,0.01,33,33,[CLS] 별 1개도 아까운 영화입니다. [SEP]                                 ,[CLS] 별 두개도 아까운.... [SEP]                                 
2581,0.0,0.01,28,33,[CLS] 조용한 평이함 속의 약간의 부산함. [SEP]                            ,[CLS] 허탈의 극을 달림. [SEP]                                 
1356,4.6,0.01,26,21,[CLS] 이 문서가 있으면 홍콩으로 돌아올 때 호텔에서 7일만 격리하면 됩니다. [SEP]                          ,[CLS] 이 서류만 있으면 홍콩으로 돌아올 때 7일 동안만 호텔에서 격리하면 됩니다. [SEP]                     
2009,3.4,0.01,31,27,[CLS] 나에게는 많은걸 느끼게 해준영화 - [SEP]                               ,[CLS] 많은걸 생각하게 해준 영화였습니다. [SEP]                           
8298,3.2,0.01,30,31,[CLS] 주류판매 업소 싸이패스설치 의무화 [SEP]                              ,[CLS] 주류 판매점 암호 필수 설치 [SEP]                               
5587,3.5,0.01,24,31,[CLS] 사유지 내 주차장에 외부차량이 주차하였을 시 견인을 할 수 있는 권한을 주세요. [SEP]                        ,[CLS] 사유지 주차장에 외부 차량을 주차한 경우 견인을 허용하십시오. [SEP]                               
1886,4.0,0.01,38,37,[CLS] 조두순 출소 반대입니다. [SEP]                                      ,[CLS] 조두순 출소 반대를 청원합니다. [SEP]                                     
9020,3.6,0.01,38,34,[CLS] 앞으로도 종종 얘기 나누고 싶네요 ㅎㅎ [SEP]                                      ,[CLS] 다음에 또 이야기 나누고 싶습니다! [SEP]                                  
4875,0.0,0.01,28,22,[CLS] 공공기관 기관장 및 사외이사 낙하산 인사를 금지해주세요. [SEP]                            ,[CLS] 선원들의 복지를 위한 선원법으로 개정해 주세요. [SEP]                      
232,0.0,0.01,36,23,[CLS] 리버스 프록시를 이용해서도 할 수 있을것 같네요 [SEP]                                    ,[CLS] 관련 논의나 컨소시엄 구축에도 저희가 참여할 수 있으면 좋을것 같습니다 [SEP]                       
4657,0.0,0.01,33,27,[CLS] 노골적으로 하는 장면이 나오는데... [SEP]                                 ,[CLS] 대사를 평소 대화하는것 처럼 하면되는데... [SEP]                           
4517,0.0,0.01,47,22,[CLS] 아 큰 복이 내린다더니 … ㅎㅎ [SEP]                                               ,[CLS] ㅋㅋ 아이고 잠이 확 깨네요 다른 분들도 좋은 사진 많으시던데 … [SEP]                      
4889,0.0,0.01,24,20,[CLS] 궁금해서 discussion 구경해보니 사진과 같은 글이 있네요 ㅋㅋㅋ [SEP]                        ,[CLS] touchbar에서 뛰어다니는 앱도 있으면 좋겠네요 ㅋ [SEP]                    
532,2.6,0.01,30,29,[CLS] 혹시나하는 생각으로 보지마세요. [SEP]                              ,[CLS] 진짜아님 보지마세요 ~ [SEP]                             
4217,0.6,0.01,29,30,"[CLS] 중, 고 줄넘기 수행평가좀 수정해주세요 [SEP]                             ",[CLS] 중 / 고등학교 내 봉사시간 제도를 개선해주세요 [SEP]                              
5888,1.6,0.01,31,11,[CLS] 스토리 이으려고 주인공들을 바보로 만든영화 [UNK] [SEP]                               ,[CLS] 감독 전작만 믿고 예매했는데왜 이 배우들을 데리고 이딴 영화를 만들었는지 모를 영화. [SEP]           
5962,0.6,0.01,31,26,[CLS] 평창올림픽대통령국민통합담화문. [SEP]                               ,[CLS] 북한 인민공화국 평창올림픽 무혈입성. [SEP]                          
7315,0.8,0.01,34,27,[CLS] 정신병원판 쇼생크탈출인데 이거 ㅋㅋ [SEP]                                  ,[CLS] 쇼생크탈출이후 최고감동의영화 [SEP]                           
8575,0.4,0.01,28,27,[CLS] 의료분쟁조정법개정 및 검토해주세요. [SEP]                            ,[CLS] 동물보호법 개정 및 추가해 주시기 바랍니다. [SEP]                           
8985,1.2,0.01,42,33,[CLS] 제가 가지러 갈게요! [SEP]                                          ,[CLS] 제가 허리춤에 당근차고 갈게요! [SEP]                                 
5846,4.0,0.01,21,20,[CLS] 오늘 사무실 이사 잘 하시고 짜장면도 맛있게 드시고 조만간 또 이야기 나누길 기대하겠습니다 [SEP]                     ,[CLS] 오늘 사무실 이사 잘 하시고 짜장면 맛있게 드시고 곧 다시 뵙기를 기대합니다. [SEP]                    
4094,0.6,0.01,41,34,[CLS] 선창1호 특별법 청원합니다 [SEP]                                         ,[CLS] 보이스피싱 특별법청원합니다 [SEP]                                  
6406,4.0,0.01,31,37,[CLS] 누군가 오늘 강의에서 올려주신 사진. [SEP]                               ,[CLS] 오늘 수업에 누군가가 올린 사진. [SEP]                                     
